,Unnamed: 0,DealerID,NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,InteriorColor,EngineCylinders,Trim,Doors,Transmission,SellingPrice,MSRP,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription,EPA_Unit,Safety details,Finance,discounts and offers,address and contact details,Working hours and Days,Trade in and Exchange
10,10,2013,NEW,2022,Jeep,Cherokee,KLJP74,Granite Crystal Metallic Clearcoat,Black,6,Limited 4x4,4,Automatic,38903,41285,4112,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
11,11,2013,NEW,2022,Dodge,Challenger,LADR22,White Knuckle Clearcoat,Black,8,SRT Hellcat RWD,2,Manual,77415,77415,19,FALSE,13,22,Gasoline,Rear Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
12,12,2013,NEW,2022,Jeep,Cherokee,KLJP74,Bright White Clearcoat,Black,6,Limited 4x4,4,Automatic,41061,43580,5,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
13,13,2013,NEW,2022,Jeep,Cherokee,KLJP74,Diamond Black Crystal Pearlcoat,Black,6,Limited 4x4,4,Automatic,38903,41285,5,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
14,14,2013,NEW,2022,Jeep,Grand Cherokee 4xe,WLXT74,Bright White Clearcoat,Global Black,4,Summit 4x4,4,Automatic,72577,74665,13,FALSE,0,0,Hybrid,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
15,15,2013,NEW,2022,Chrysler,Pacifica,RUEH53,Bright White Clearcoat,Black,6,Hybrid Touring L FWD,4,,46615,51003,12,FALSE,0,0,Hybrid,Front Wheel Drive,CVT,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
16,16,2013,NEW,2022,Jeep,Grand Cherokee 4xe,WLXP74,Bright White Clearcoat,Global Black,4,4x4,4,Automatic,62862,65950,5,FALSE,0,0,Hybrid,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
17,17,2013,NEW,2022,Ram,1500,DT6H41,Bright White Clearcoat,Black,6,"Big Horn 4x4 Quad Cab 6'4"" Box",4,Automatic,50902,54990,10,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
18,18,2013,NEW,2022,Jeep,Grand Cherokee 4xe,WLXT74,Hydro Blue Pearlcoat,Global Black,4,Summit Reserve 4x4,4,Automatic,77977,80065,0,FALSE,0,0,Hybrid,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
19,19,2013,NEW,2022,Jeep,Grand Cherokee 4xe,WLXT74,Midnight Sky,Global Black,4,Summit Reserve 4x4,4,Automatic,77977,80065,97,FALSE,0,0,Hybrid,Four Wheel Drive,8-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
20,20,2013,NEW,2023,Jeep,Gladiator,JTJL98,Sarge Green Clearcoat,Black,6,Sport S 4x4,4,Manual,57800,53490,13,FALSE,17,23,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
21,21,2013,NEW,2021,Ram,1500,DT6H98,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,53930,54530,5,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
22,22,2013,NEW,2022,Chrysler,Pacifica,RUCH53,Bright White Clearcoat,Black/Alloy/Black,6,Touring L FWD,4,Automatic,40245,42133,4597,FALSE,19,28,Gasoline,Front Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
23,23,2013,NEW,2022,Chrysler,Pacifica,RUEH53,Bright White Clearcoat,Black,6,Hybrid Touring L FWD,4,,46615,51003,0,FALSE,0,0,Hybrid,Front Wheel Drive,CVT,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
24,24,2013,NEW,2022,Chrysler,Pacifica,RUEH53,Fathom Blue Pearlcoat,Black,6,Hybrid Touring L FWD,4,,47110,51498,5,FALSE,0,0,Hybrid,Front Wheel Drive,CVT,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
25,25,2013,NEW,2022,Chrysler,Pacifica,RUEH53,Ceramic Gray Clearcoat,Black,6,Hybrid Touring L FWD,4,,47110,51498,6,FALSE,0,0,Hybrid,Front Wheel Drive,CVT,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
26,26,2013,USED,2019,Jeep,Cherokee,KLJP74,Diamond Black Crystal Pearlcoat,Black,6,Limited 4x4,4,Automatic,25000,25888,28278,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
27,27,2013,NEW,2022,Ram,1500,DT6M98,Billet Silver Metallic Clearcoat,Black,8,"Limited 4x4 Crew Cab 5'7"" Box",4,Automatic,75595,75595,381,FALSE,15,21,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
